"TimeStep","Gradient:0","Gradient:1","Gradient:2","temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2,0.00051399,0,0,0,1,0,0,0.5,0
2,0.00051409,-2.6964e-10,0,5.1399e-07,1,0.001,0.001,0.5,0
2,0.0005142,-5.3928e-10,0,1.028e-06,1,0.002,0.002,0.5,0
2,0.0005143,-8.0892e-10,0,1.542e-06,1,0.003,0.003,0.5,0
2,0.00051441,-1.0786e-09,0,2.056e-06,1,0.004,0.004,0.5,0
2,0.00051451,-1.3482e-09,0,2.5699e-06,1,0.005,0.005,0.5,0
2,0.00051461,-1.6178e-09,0,3.0839e-06,1,0.006,0.006,0.5,0
2,0.00051472,-1.8875e-09,0,3.5979e-06,1,0.007,0.007,0.5,0
2,0.00051482,-2.1571e-09,0,4.1119e-06,1,0.008,0.008,0.5,0
2,0.00051493,-2.4268e-09,0,4.6259e-06,1,0.009,0.009,0.5,0
2,0.00051503,-2.6964e-09,0,5.1399e-06,1,0.01,0.01,0.5,0
2,0.00051534,-3.5818e-09,0,5.656e-06,1,0.011,0.011,0.5,0
2,0.00051565,-4.4671e-09,0,6.172e-06,1,0.012,0.012,0.5,0
2,0.00051596,-5.3525e-09,0,6.6881e-06,1,0.013,0.013,0.5,0
2,0.00051627,-6.2379e-09,0,7.2042e-06,1,0.014,0.014,0.5,0
2,0.00051658,-7.1232e-09,0,7.7203e-06,1,0.015,0.015,0.5,0
2,0.00051689,-8.0086e-09,0,8.2363e-06,1,0.016,0.016,0.5,0
2,0.0005172,-8.894e-09,0,8.7524e-06,1,0.017,0.017,0.5,0
2,0.00051751,-9.7794e-09,0,9.2685e-06,1,0.018,0.018,0.5,0
2,0.00051783,-1.0665e-08,0,9.7846e-06,1,0.019,0.019,0.5,0
2,0.00051814,-1.155e-08,0,1.0301e-05,1,0.02,0.02,0.5,0
2,0.00051865,-1.178e-08,0,1.0821e-05,1,0.021,0.021,0.5,0
2,0.00051916,-1.2011e-08,0,1.1341e-05,1,0.022,0.022,0.5,0
2,0.00051967,-1.2241e-08,0,1.1861e-05,1,0.023,0.023,0.5,0
2,0.00052019,-1.2471e-08,0,1.2381e-05,1,0.024,0.024,0.5,0
2,0.0005207,-1.2702e-08,0,1.2902e-05,1,0.025,0.025,0.5,0
2,0.00052121,-1.2932e-08,0,1.3422e-05,1,0.026,0.026,0.5,0
2,0.00052172,-1.3163e-08,0,1.3942e-05,1,0.027,0.027,0.5,0
2,0.00052224,-1.3393e-08,0,1.4462e-05,1,0.028,0.028,0.5,0
2,0.00052275,-1.3623e-08,0,1.4982e-05,1,0.029,0.029,0.5,0
2,0.00052326,-1.3854e-08,0,1.5503e-05,1,0.03,0.03,0.5,0
2,0.00052397,-1.2992e-08,0,1.6029e-05,1,0.031,0.031,0.5,0
2,0.00052468,-1.213e-08,0,1.6555e-05,1,0.032,0.032,0.5,0
2,0.0005254,-1.1268e-08,0,1.7082e-05,1,0.033,0.033,0.5,0
2,0.00052611,-1.0406e-08,0,1.7608e-05,1,0.034,0.034,0.5,0
2,0.00052682,-9.5441e-09,0,1.8134e-05,1,0.035,0.035,0.5,0
2,0.00052753,-8.6822e-09,0,1.8661e-05,1,0.036,0.036,0.5,0
2,0.00052824,-7.8204e-09,0,1.9187e-05,1,0.037,0.037,0.5,0
2,0.00052895,-6.9585e-09,0,1.9713e-05,1,0.038,0.038,0.5,0
2,0.00052966,-6.0966e-09,0,2.024e-05,1,0.039,0.039,0.5,0
2,0.00053037,-5.2347e-09,0,2.0766e-05,1,0.04,0.04,0.5,0
2,0.00053128,-4.0656e-09,0,2.13e-05,1,0.041,0.041,0.5,0
2,0.00053218,-2.8964e-09,0,2.1835e-05,1,0.042,0.042,0.5,0
2,0.00053309,-1.7272e-09,0,2.2369e-05,1,0.043,0.043,0.5,0
2,0.00053399,-5.581e-10,0,2.2904e-05,1,0.044,0.044,0.5,0
2,0.0005349,6.1106e-10,0,2.3438e-05,1,0.045,0.045,0.5,0
2,0.0005358,1.7802e-09,0,2.3972e-05,1,0.046,0.046,0.5,0
2,0.0005367,2.9494e-09,0,2.4507e-05,1,0.047,0.047,0.5,0
2,0.00053761,4.1185e-09,0,2.5041e-05,1,0.048,0.048,0.5,0
2,0.00053851,5.2877e-09,0,2.5576e-05,1,0.049,0.049,0.5,0
2,0.00053942,6.4568e-09,0,2.611e-05,1,0.05,0.05,0.5,0
2,0.0005405,7.3734e-09,0,2.6654e-05,1,0.051,0.051,0.5,0
2,0.00054159,8.29e-09,0,2.7199e-05,1,0.052,0.052,0.5,0
2,0.00054268,9.2066e-09,0,2.7743e-05,1,0.053,0.053,0.5,0
2,0.00054377,1.0123e-08,0,2.8288e-05,1,0.054,0.054,0.5,0
2,0.00054486,1.104e-08,0,2.8832e-05,1,0.055,0.055,0.5,0
2,0.00054595,1.1956e-08,0,2.9377e-05,1,0.056,0.056,0.5,0
2,0.00054703,1.2873e-08,0,2.9921e-05,1,0.057,0.057,0.5,0
2,0.00054812,1.379e-08,0,3.0465e-05,1,0.058,0.058,0.5,0
2,0.00054921,1.4706e-08,0,3.101e-05,1,0.059,0.059,0.5,0
2,0.0005503,1.5623e-08,0,3.1554e-05,1,0.06,0.06,0.5,0
2,0.00055156,1.6219e-08,0,3.211e-05,1,0.061,0.061,0.5,0
2,0.00055282,1.6815e-08,0,3.2667e-05,1,0.062,0.062,0.5,0
2,0.00055408,1.7411e-08,0,3.3223e-05,1,0.063,0.063,0.5,0
2,0.00055534,1.8008e-08,0,3.3779e-05,1,0.064,0.064,0.5,0
2,0.0005566,1.8604e-08,0,3.4335e-05,1,0.065,0.065,0.5,0
2,0.00055787,1.92e-08,0,3.4891e-05,1,0.066,0.066,0.5,0
2,0.00055913,1.9796e-08,0,3.5448e-05,1,0.067,0.067,0.5,0
2,0.00056039,2.0392e-08,0,3.6004e-05,1,0.068,0.068,0.5,0
2,0.00056165,2.0989e-08,0,3.656e-05,1,0.069,0.069,0.5,0
2,0.00056291,2.1585e-08,0,3.7116e-05,1,0.07,0.07,0.5,0
2,0.00056433,2.1982e-08,0,3.7686e-05,1,0.071,0.071,0.5,0
2,0.00056575,2.2379e-08,0,3.8255e-05,1,0.072,0.072,0.5,0
2,0.00056718,2.2777e-08,0,3.8825e-05,1,0.073,0.073,0.5,0
2,0.0005686,2.3174e-08,0,3.9395e-05,1,0.074,0.074,0.5,0
2,0.00057002,2.3572e-08,0,3.9964e-05,1,0.075,0.075,0.5,0
2,0.00057144,2.3969e-08,0,4.0534e-05,1,0.076,0.076,0.5,0
2,0.00057286,2.4366e-08,0,4.1104e-05,1,0.077,0.077,0.5,0
2,0.00057428,2.4764e-08,0,4.1673e-05,1,0.078,0.078,0.5,0
2,0.0005757,2.5161e-08,0,4.2243e-05,1,0.079,0.079,0.5,0
2,0.00057713,2.5558e-08,0,4.2812e-05,1,0.08,0.08,0.5,0
2,0.00057869,2.5858e-08,0,4.3397e-05,1,0.081,0.081,0.5,0
2,0.00058026,2.6158e-08,0,4.3982e-05,1,0.082,0.082,0.5,0
2,0.00058183,2.6458e-08,0,4.4566e-05,1,0.083,0.083,0.5,0
2,0.0005834,2.6758e-08,0,4.5151e-05,1,0.084,0.084,0.5,0
2,0.00058496,2.7058e-08,0,4.5735e-05,1,0.085,0.085,0.5,0
2,0.00058653,2.7358e-08,0,4.632e-05,1,0.086,0.086,0.5,0
2,0.0005881,2.7658e-08,0,4.6905e-05,1,0.087,0.087,0.5,0
2,0.00058967,2.7957e-08,0,4.7489e-05,1,0.088,0.088,0.5,0
2,0.00059124,2.8257e-08,0,4.8074e-05,1,0.089,0.089,0.5,0
2,0.0005928,2.8557e-08,0,4.8659e-05,1,0.09,0.09,0.5,0
2,0.0005945,2.8809e-08,0,4.926e-05,1,0.091,0.091,0.5,0
2,0.0005962,2.906e-08,0,4.9861e-05,1,0.092,0.092,0.5,0
2,0.0005979,2.9311e-08,0,5.0462e-05,1,0.093,0.093,0.5,0
2,0.0005996,2.9563e-08,0,5.1063e-05,1,0.094,0.094,0.5,0
2,0.00060129,2.9814e-08,0,5.1664e-05,1,0.095,0.095,0.5,0
2,0.00060299,3.0066e-08,0,5.2265e-05,1,0.096,0.096,0.5,0
2,0.00060469,3.0317e-08,0,5.2866e-05,1,0.097,0.097,0.5,0
2,0.00060639,3.0569e-08,0,5.3466e-05,1,0.098,0.098,0.5,0
2,0.00060809,3.082e-08,0,5.4067e-05,1,0.099,0.099,0.5,0
2,0.00060978,3.1071e-08,0,5.4668e-05,1,0.1,0.1,0.5,0
2,0.00061159,3.1296e-08,0,5.5287e-05,1,0.101,0.101,0.5,0
2,0.0006134,3.152e-08,0,5.5906e-05,1,0.102,0.102,0.5,0
2,0.00061522,3.1744e-08,0,5.6524e-05,1,0.103,0.103,0.5,0
2,0.00061703,3.1968e-08,0,5.7143e-05,1,0.104,0.104,0.5,0
2,0.00061884,3.2192e-08,0,5.7761e-05,1,0.105,0.105,0.5,0
2,0.00062065,3.2416e-08,0,5.838e-05,1,0.106,0.106,0.5,0
2,0.00062246,3.264e-08,0,5.8999e-05,1,0.107,0.107,0.5,0
2,0.00062427,3.2864e-08,0,5.9617e-05,1,0.108,0.108,0.5,0
2,0.00062608,3.3089e-08,0,6.0236e-05,1,0.109,0.109,0.5,0
2,0.00062789,3.3313e-08,0,6.0854e-05,1,0.11,0.11,0.5,0
2,0.00062979,3.352e-08,0,6.1491e-05,1,0.111,0.111,0.5,0
2,0.0006317,3.3726e-08,0,6.2129e-05,1,0.112,0.112,0.5,0
2,0.0006336,3.3933e-08,0,6.2766e-05,1,0.113,0.113,0.5,0
2,0.00063551,3.414e-08,0,6.3403e-05,1,0.114,0.114,0.5,0
2,0.00063741,3.4347e-08,0,6.404e-05,1,0.115,0.115,0.5,0
2,0.00063931,3.4554e-08,0,6.4677e-05,1,0.116,0.116,0.5,0
2,0.00064122,3.4761e-08,0,6.5315e-05,1,0.117,0.117,0.5,0
2,0.00064312,3.4968e-08,0,6.5952e-05,1,0.118,0.118,0.5,0
2,0.00064503,3.5175e-08,0,6.6589e-05,1,0.119,0.119,0.5,0
2,0.00064693,3.5382e-08,0,6.7226e-05,1,0.12,0.12,0.5,0
2,0.00064891,3.5576e-08,0,6.7883e-05,1,0.121,0.121,0.5,0
2,0.00065088,3.5769e-08,0,6.854e-05,1,0.122,0.122,0.5,0
2,0.00065286,3.5963e-08,0,6.9196e-05,1,0.123,0.123,0.5,0
2,0.00065484,3.6157e-08,0,6.9853e-05,1,0.124,0.124,0.5,0
2,0.00065681,3.6351e-08,0,7.051e-05,1,0.125,0.125,0.5,0
2,0.00065879,3.6545e-08,0,7.1166e-05,1,0.126,0.126,0.5,0
2,0.00066077,3.6739e-08,0,7.1823e-05,1,0.127,0.127,0.5,0
2,0.00066274,3.6933e-08,0,7.248e-05,1,0.128,0.128,0.5,0
2,0.00066472,3.7127e-08,0,7.3136e-05,1,0.129,0.129,0.5,0
2,0.0006667,3.7321e-08,0,7.3793e-05,1,0.13,0.13,0.5,0
2,0.00066873,3.7502e-08,0,7.447e-05,1,0.131,0.131,0.5,0
2,0.00067075,3.7683e-08,0,7.5146e-05,1,0.132,0.132,0.5,0
2,0.00067278,3.7864e-08,0,7.5823e-05,1,0.133,0.133,0.5,0
2,0.00067481,3.8045e-08,0,7.65e-05,1,0.134,0.134,0.5,0
2,0.00067683,3.8226e-08,0,7.7177e-05,1,0.135,0.135,0.5,0
2,0.00067886,3.8407e-08,0,7.7853e-05,1,0.136,0.136,0.5,0
2,0.00068089,3.8588e-08,0,7.853e-05,1,0.137,0.137,0.5,0
2,0.00068291,3.8769e-08,0,7.9207e-05,1,0.138,0.138,0.5,0
2,0.00068494,3.895e-08,0,7.9884e-05,1,0.139,0.139,0.5,0
2,0.00068697,3.9131e-08,0,8.056e-05,1,0.14,0.14,0.5,0
2,0.00068902,3.9297e-08,0,8.1257e-05,1,0.141,0.141,0.5,0
2,0.00069108,3.9464e-08,0,8.1955e-05,1,0.142,0.142,0.5,0
2,0.00069313,3.963e-08,0,8.2652e-05,1,0.143,0.143,0.5,0
2,0.00069518,3.9796e-08,0,8.3349e-05,1,0.144,0.144,0.5,0
2,0.00069724,3.9962e-08,0,8.4046e-05,1,0.145,0.145,0.5,0
2,0.00069929,4.0129e-08,0,8.4743e-05,1,0.146,0.146,0.5,0
2,0.00070135,4.0295e-08,0,8.5441e-05,1,0.147,0.147,0.5,0
2,0.0007034,4.0461e-08,0,8.6138e-05,1,0.148,0.148,0.5,0
2,0.00070545,4.0628e-08,0,8.6835e-05,1,0.149,0.149,0.5,0
2,0.00070751,4.0794e-08,0,8.7532e-05,1,0.15,0.15,0.5,0
2,0.00070956,4.0943e-08,0,8.825e-05,1,0.151,0.151,0.5,0
2,0.00071162,4.1092e-08,0,8.8968e-05,1,0.152,0.152,0.5,0
2,0.00071367,4.1241e-08,0,8.9686e-05,1,0.153,0.153,0.5,0
2,0.00071573,4.139e-08,0,9.0404e-05,1,0.154,0.154,0.5,0
2,0.00071779,4.1539e-08,0,9.1121e-05,1,0.155,0.155,0.5,0
2,0.00071984,4.1688e-08,0,9.1839e-05,1,0.156,0.156,0.5,0
2,0.0007219,4.1837e-08,0,9.2557e-05,1,0.157,0.157,0.5,0
2,0.00072395,4.1986e-08,0,9.3275e-05,1,0.158,0.158,0.5,0
2,0.00072601,4.2135e-08,0,9.3993e-05,1,0.159,0.159,0.5,0
2,0.00072807,4.2284e-08,0,9.471e-05,1,0.16,0.16,0.5,0
2,0.0007301,4.2413e-08,0,9.5449e-05,1,0.161,0.161,0.5,0
2,0.00073213,4.2542e-08,0,9.6187e-05,1,0.162,0.162,0.5,0
2,0.00073416,4.2672e-08,0,9.6925e-05,1,0.163,0.163,0.5,0
2,0.00073619,4.2801e-08,0,9.7664e-05,1,0.164,0.164,0.5,0
2,0.00073823,4.293e-08,0,9.8402e-05,1,0.165,0.165,0.5,0
2,0.00074026,4.306e-08,0,9.914e-05,1,0.166,0.166,0.5,0
2,0.00074229,4.3189e-08,0,9.9879e-05,1,0.167,0.167,0.5,0
2,0.00074432,4.3319e-08,0,0.00010062,1,0.168,0.168,0.5,0
2,0.00074635,4.3448e-08,0,0.00010136,1,0.169,0.169,0.5,0
2,0.00074839,4.3577e-08,0,0.00010209,1,0.17,0.17,0.5,0
2,0.00075037,4.3685e-08,0,0.00010285,1,0.171,0.171,0.5,0
2,0.00075235,4.3792e-08,0,0.00010361,1,0.172,0.172,0.5,0
2,0.00075433,4.39e-08,0,0.00010437,1,0.173,0.173,0.5,0
2,0.00075631,4.4008e-08,0,0.00010513,1,0.174,0.174,0.5,0
2,0.00075829,4.4115e-08,0,0.00010589,1,0.175,0.175,0.5,0
2,0.00076028,4.4223e-08,0,0.00010664,1,0.176,0.176,0.5,0
2,0.00076226,4.433e-08,0,0.0001074,1,0.177,0.177,0.5,0
2,0.00076424,4.4438e-08,0,0.00010816,1,0.178,0.178,0.5,0
2,0.00076622,4.4546e-08,0,0.00010892,1,0.179,0.179,0.5,0
2,0.0007682,4.4653e-08,0,0.00010968,1,0.18,0.18,0.5,0
2,0.00077011,4.4736e-08,0,0.00011046,1,0.181,0.181,0.5,0
2,0.00077201,4.482e-08,0,0.00011123,1,0.182,0.182,0.5,0
2,0.00077391,4.4903e-08,0,0.00011201,1,0.183,0.183,0.5,0
2,0.00077582,4.4986e-08,0,0.00011279,1,0.184,0.184,0.5,0
2,0.00077772,4.507e-08,0,0.00011357,1,0.185,0.185,0.5,0
2,0.00077962,4.5153e-08,0,0.00011435,1,0.186,0.186,0.5,0
2,0.00078153,4.5236e-08,0,0.00011512,1,0.187,0.187,0.5,0
2,0.00078343,4.532e-08,0,0.0001159,1,0.188,0.188,0.5,0
2,0.00078534,4.5403e-08,0,0.00011668,1,0.189,0.189,0.5,0
2,0.00078724,4.5486e-08,0,0.00011746,1,0.19,0.19,0.5,0
2,0.00078904,4.5542e-08,0,0.00011825,1,0.191,0.191,0.5,0
2,0.00079084,4.5597e-08,0,0.00011905,1,0.192,0.192,0.5,0
2,0.00079263,4.5652e-08,0,0.00011985,1,0.193,0.193,0.5,0
2,0.00079443,4.5708e-08,0,0.00012064,1,0.194,0.194,0.5,0
2,0.00079623,4.5763e-08,0,0.00012144,1,0.195,0.195,0.5,0
2,0.00079803,4.5819e-08,0,0.00012224,1,0.196,0.196,0.5,0
2,0.00079983,4.5874e-08,0,0.00012303,1,0.197,0.197,0.5,0
